,,,,,,,,,,,
36,Orange,"3,577","3,283","6,167","4,592","3,747","1,540",1960,"2,028","2,334","4,723"
37,Other Fruits,N.W,N.W,N.W,N.W,N.W,N.W,N.W,N.W,,N.W
,Total Fruits,N.W,N.W,N.W,N.W,N.W,N.W,N.W,N.W,,N.W
,E . VEGETABLES,,,,,,,,,,
38,Tapioca,"38,81,425","39,67,751","27,69,471","24,99,280","28,51,761","23,66,723","20,12,746","27,15,116","26,29,655","30,65,106"
39,Tomato,"2,98,316","2,65,153","3,00,068","3,03,914","3,45,144","3,43,475","3,23,885","3,19,090","3,96,654","5,75,141"
40,Onion,"2,99,305","3,76,947","1,99,234","2,40,371","2,40,331","2,82,714","2,30,222","2,14,642","2,18,595","2,61,835"
41,Cabbage,"1,15,183","1,14,406","89,393","51,253","87,550","1,44,897","1,22,691","1,31,332","91,478","1,85,961"
42,Brinjal,"78,685","1,00,654","84,662","97,000","96,608","1,03,701","1,24,513","1,23,255","1,37,542","2,75,956"
43,Potato,"88,932","92,207","76,176","1,22,737","1,11,931","89,963","1,08,969","68,517","49,384","84,720"
44,Lady’s finger,"52,302","66,656","59,191","52,557","65,484","79,494","71,583","79,189","80,590","1,75,243"
45,Sweet potato,"9,201","7,991","6,058","12,496","11,094","9,536",2635,"7,946","8,854","14,383"
46,Other Vegetables,N.W,N.W,N.W,N.W,N.W,N.W,N.W,N.W,,N.W
,Total Vegetables,N.W,N.W,N.W,N.W,N.W,N.W,N.W,N.W,,N.W
,Other Food Crops,N.W,N.W,N.W,N.W,N.W,N.W,N.W,N.W,,N.W
,Total Food Crops,N.W,N.W,N.W,N.W,N.W,N.W,N.W,N.W,,N.W
,II . NON - FOOD CROPS,,,,,,,,,,
47,Groundnut,"8,95,638","10,60,654","7,85,362","9,15,884","9,25,182","8,92,280","5,88,854","10,07,452","9,11,240","10,32,903"
48,Gingelly,"25,387","26,447","17,179","33,708","44,748","29,369","10,837","23,054","24,422","36,481"
49,Coconut  #,"59,656","62,009","50,747","46,680","49,865","59,625","47,064","41,765","52,140","50,663"
50,Rapeseed and Mustard,70,84,139,140,72,83,46,67,71,33
51,Sunflower,"10,036","24,622","11,374","9,693","12,541","8,782","2,919","5,993","3,475","3,831"
52,Castor,"1,862","1,862","1,750","1,990","1,695","1,763","1,470",1417,"1,526","1,646"
53,Cotton **,"2,47,930","3,81,769","2,55,470","4,16,560","5,98,939","3,26,659","2,01,516","4,38,585","3,20,303","4,18,081"
54,Tobacco,"8,209","8,208","6,251","5,691","8,334","5,161",2744,5710,"3,238","2,426"
55,Other Non-Food Crops,N.W,N.W,N.W,N.W,N.W,N.W,N.W,N.W,N.W,N.W
,Total Non food crops,N.W,N.W,N.W,N.W,N.W,N.W,N.W,N.W,N.W,N.W
Total Food and Non-food crops,,N.W,N.W,N.W,N.W,N.W,N.W,N.W,N.W,N.W,N.W
* Rice,** Cotton : bales of 170 kg lint each (Yield rate in terms of lint) ;,,,,,,,,,,
N.W - Not Worked out,,,,,,,,,,,
# Coconut: Lakh Nuts ( Yield rate in nuts/ha.),,,,,,,,,,,
