Sl.No.,,SOUTH - WEST MONSOON,,,,,,,,
,,,,,,,,,,
,,JUNE '23,,,JULY'23,,,AUG '23,,
,District,,,,,,,,,
,,Actual,Normal,% Dev.,Actual,Normal,% Dev.,Actual,Normal,% Dev.
24,Thanjavur 118.9,,112.7,5.5,322.4,302.8,6.5,84.4,171.9,-50.9
25,Tiruvarur 67.7,,112.6,-39.9,229.1,297.2,-22.9,65.7,198.7,-66.9
26,Nagapattinam 36.4,,90.3,-59.7,157.7,246.6,-36.1,101,237.2,-57.4
27,Mayiladuthurai 65.2,,113.5,-42.6,196.5,304.7,-35.5,57.1,241.8,-76.4
28,Madurai 86.1,,123.7,-30.4,306.8,296.1,3.6,155.5,174.3,-10.8
29,Theni 116.9,,97.5,19.9,253,237.9,6.3,192.1,170.4,12.7
30,Dindigul 164.7,,137.3,20,372.7,301.5,23.6,126.3,194.9,-35.2
31,Ramanathapuram 52.6,,58.3,-9.8,93,132.1,-29.6,111.1,189.9,-41.5
32,Virudhunagar 85.0,,90.1,-5.7,240.2,196.4,22.3,129.7,172.6,-24.9
33,Sivagangai 109.6,,109.4,0.2,335.3,316.7,5.9,92.6,182.8,-49.3
34,Tirunelveli 103.6,,35.8,189.4,208.9,92.5,125.8,164.7,153.9,7
35,Tenkasi 54.4,,48.5,12.2,172.6,172.7,-0.1,151.7,173.8,-12.7
36,Thoothukudi 35.5,,35.2,0.9,56.4,67.3,-16.2,48.3,156.5,-69.1
37,The Nilgiris 201.7,,180.5,11.7,773,842.4,-8.2,155,227.1,-31.7
38,Kanniyakumari 218.1,,124,75.9,330.4,494.7,-33.2,537.9,249.3,115.8
State Average 152.7,,,119.9,27.4,374,340.4,9.9,101.4,178.3,-43.1
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
Sl.No.,,NORTH-EAST MONSOON (Contd…),,,,,,,,
,,NOV '23,,,DEC '23,,,TOTAL,,
,District,,,,,,,,,
,,Actual,Normal,% Dev.,Actual,Normal,% Dev.,Actual,Normal,% Dev.
1,2,21,22,23,24,25,26,27,28,29
1,Chennai,518.2,370.5,39.9,496.4,164.6,201.6,1088.9,809.6,34.5
2,Kancheepuram,307.9,260.3,18.3,314.4,140.3,124.1,703.6,591.7,18.9
3,Chengalpattu,349.9,311.1,12.5,342.8,162.2,111.3,747.1,707.7,5.6
4,Tiruvallur,331,276,19.9,368.2,131.7,179.6,754.5,623.9,20.9
5,Cuddalore,427,307.2,39,60.8,184.4,-67,537.6,701.5,-23.4
6,Villupuram,254.6,225.5,12.9,33.3,129.4,-74.3,353.5,531.3,-33.5
7,Kallakurichi,144.4,189,-23.6,15.3,106.5,-85.6,206.8,455.5,-54.6
8,Vellore,123.7,150.9,-18,88.5,73.1,21.1,286.7,375.8,-23.7
9,Ranipet,132.1,167.9,-21.3,153.1,87.6,74.8,351.3,406,-13.5
10,Tirupathur,78.9,95.1,-17,11.7,42.1,-72.2,141.7,266.3,-46.8
11,Tiruvannamalai,159.3,178.6,-10.8,51.9,98.6,-47.4,276.5,450.4,-38.6
12,Salem,132,121.4,8.7,10.3,45.7,-77.5,229.3,331.7,-30.9
13,Namakkal,124.3,101.2,22.8,8,34.3,-76.7,230.5,270.4,-14.8
14,Dharmapuri,112.6,112.6,0,4.7,39.8,-88.2,182.8,314.2,-41.8
15,Krishnagiri,81.8,86.4,-5.3,6.6,31.3,-78.9,139,278.7,-50.1
16,Coimbatore,254.5,130.8,94.6,86.9,44.9,93.5,500.8,337.6,48.3
17,Tiruppur,174.4,124.8,39.7,42.8,41.6,2.9,329.8,305.7,7.9
18,Erode,267.6,117.6,127.6,30.2,38.5,-21.6,396.1,307.1,29
19,Tiruchirapalli,99.2,156.8,-36.7,20.6,76.8,-73.2,202.6,379.4,-46.6
20,Karur,93.9,132.3,-29,11.5,51.4,-77.6,181.4,313.2,-42.1
21,Perambalur,165.2,180.6,-8.5,22.7,85.7,-73.5,232.5,432,-46.2
22,Ariyalur,198.2,214.4,-7.6,49.2,129.3,-61.9,284.2,501.9,-43.4
23,Pudukkottai,168,157.8,6.5,58.1,88.5,-34.4,308.9,385.6,-19.9
24,Thanjavur,201.2,252.9,-20.4,59.9,154.6,-61.3,345.5,579.4,-40.4
25,Tiruvarur,405,321.2,26.1,127.2,205.5,-38.1,597.9,725.4,-17.6
26,Nagapattinam,648.9,432.1,50.2,219.1,266,-17.6,969,935.3,3.6
27,Mayiladuthurai,540.8,401.3,34.8,154.6,245,-36.9,752.5,888.1,-15.3
28,Madurai,247.6,142.6,73.6,72.4,53.1,36.3,475.5,370,28.5
29,Theni,216,141,53.2,129.5,52.9,144.8,537.6,364.3,47.6
30,Dindigul,198.8,181.4,9.6,91.2,83.7,9,416.3,460,-9.5
31,Ramanathapuram,374.3,205.5,82.1,182.2,136,34,667.6,531.4,25.6
32,Virudhunagar,317.7,160.3,98.2,212.6,65.6,224.1,660,398.5,65.6
33,Sivagangai,262.3,156.2,67.9,85.3,83.7,1.9,440.2,422.7,4.1
34,Tirunelveli,406.3,235.4,72.6,758.6,125.6,504,1329.6,514.9,158.2
35,Tenkasi,328.5,210.4,56.1,341.2,81.5,318.7,821.4,465.7,76.4
36,Thoothukudi,48.3,156.5,-69.1,498.1,89.9,454.1,594.7,402.9,47.6
37,The Nilgiris,265.3,195.6,35.6,82.2,78.6,4.6,502.5,501.3,0.2
38,Kanniyakumari,302.8,220.2,37.5,210.2,63.1,233.1,1050.9,532.6,97.3
State Average,,249,199.5,24.8,145.1,100.3,44.6,495.5,478.2,3.6
,,,,,,,,,,
Sl.No.,,WINTER MONSOON,,,,,,,,
,,JAN '24,,,FEB' '24,,,TOTAL,,
,District,,,,,,,,,
,,Actual,Normal,% Dev.,,Actual,Normal,Actual,Normal,% Dev.
,,,,,Actual,,,,,
1,2,30,31,32,33,34,35,36,37,38
1,Chennai,62.4,23,171.3,0,16.3,-100,62.4,39.3,58.8
2,Kancheepuram,81,11.7,592.3,0,9.3,-100,81,21,285.7
3,Chengalpattu,138.4,14.2,874.6,0,11.3,-100,138.4,25.5,442.7
4,Thiruvallur,37.6,14.6,157.5,0,14.1,-100,37.6,28.7,31
5,Cuddalore,121.1,25.1,382.5,0,16.3,-100,121.1,41.4,192.5
6,Villupuram,122,10.7,1040.2,0,12.4,-100,122,23.1,428.1
7,Kallakurichi,40.3,12.2,230.3,0,7.8,-100,40.3,20,101.5
8,Vellore,24.4,6.5,275.4,0,8,-100,24.4,14.5,68.3
9,Ranipet,42.8,8,435,0,8.3,-100,42.8,16.3,162.6
10,Tirupathur,9.4,3,213.3,0,6.3,-100,9.4,9.3,1.1
11,Tiruvannamalai,42.4,9,371.1,0,10.8,-100,42.4,19.8,114.1
12,Salem,10.9,4,172.5,0,5.9,-100,10.9,9.9,10.1
13,Namakkal,10.2,4.2,142.9,0,6.1,-100,10.2,10.3,-1
14,Dharmapuri,9.4,4,135,0,7.7,-100,9.4,11.7,-19.7
15,Krishnagiri,5.6,2.7,107.4,0,5.2,-100,5.6,7.9,-29.1
16,Coimbatore,44.3,7,532.9,0,10.7,-100,44.3,17.7,150.3
17,Tiruppur,41.2,3.7,1013.5,0,6,-100,41.2,9.7,324.7
18,Erode,11.8,3.9,202.6,5.3,7.4,-28.4,17.1,11.3,51.3
19,Tiruchirapalli,16.8,7.6,121.1,0,6.6,-100,16.8,14.2,18.3
20,Karur,8.1,4.3,88.4,0,6,-100,8.1,10.3,-21.4
21,Perambalur,29.2,9.3,214,0,7,-100,29.2,16.3,79.1
22,Ariyalur,72.1,16.3,342.3,0,7.9,-100,72.1,24.2,197.9
23,Pudukkottai,13.3,9.8,35.7,3.8,9.7,-60.8,17.1,19.5,-12.3
24,Thanjavur,67.2,20.5,227.8,1.1,16.4,-93.3,68.3,36.9,85.1
25,Tiruvarur,138,28.5,384.2,0,17.2,-100,138,45.7,202
26,Nagapattinam,175.5,42,317.9,0,22.2,-100,175.5,64.2,173.4
27,Mayiladuthurai,196.7,33.1,494.3,0,20.4,-100,196.7,53.5,267.7
28,Madurai,24,10,140,0,10.5,-100,24,20.5,17.1
29,Theni,76.5,12.8,497.7,0.9,16.7,-94.6,77.4,29.5,162.4
30,Dindigul,65.6,11.9,451.3,0,11.4,-100,65.6,23.3,181.5
31,Ramanathapuram,46,27.8,65.5,3.8,19.1,-80.1,49.8,46.9,6.2
32,Virudhunagar,78.2,14.6,435.6,13.6,17.2,-20.9,91.8,31.8,188.7
33,Sivagangai,10.8,12.6,-14.3,0,12.7,-100,10.8,25.3,-57.3
34,Tirunelveli,157,27.8,464.7,11.7,30.4,-61.5,168.7,58.2,189.9
